id,dataset_name,source,source_url,domain,task_description,task_type,input_type,output_type,best_model,model_reference,mllo_type,notes
1,PathMNIST,MedMNIST,https://medmnist.com/,Medical Imaging,Colon pathology image classification,MultiClassClassification,Image,CategoricalLabel,ResNet-50,He et al. 2016,ArtificialNeuralNetwork,9-class colon pathology; 107180 images 28x28
2,ChestMNIST,MedMNIST,https://medmnist.com/,Medical Imaging,Chest X-ray multi-label disease classification,MultiLabelClassification,Image,MultipleCategoricalLabels,ResNet-18,He et al. 2016,ArtificialNeuralNetwork,14 thoracic conditions; MLLO gap — multi-label output not natively supported
3,TDC.BBB_Martins,Therapeutics Data Commons,https://tdcommons.ai/,Drug Discovery,Blood-brain barrier penetration prediction,BinaryClassification,MolecularGraph,BinaryLabel,MiniMol,TDC Leaderboard 2024,ArtificialNeuralNetwork,SMILES input; MLLO gap — MolecularGraph InputType missing
4,TDC.DILI,Therapeutics Data Commons,https://tdcommons.ai/,Drug Discovery,Drug-induced liver injury prediction,BinaryClassification,MolecularGraph,BinaryLabel,MapLight+GNN,TDC Leaderboard 2024,NonParametricModel,GNN architecture; may warrant GraphNeuralNetwork subtype
5,TDC.Clearance_Hepatocyte_AZ,Therapeutics Data Commons,https://tdcommons.ai/,Drug Discovery,Hepatocyte drug clearance rate prediction,Regression,MolecularGraph,ContinuousValue,RFStacker,TDC Leaderboard 2024,NonParametricModel,Stacked ensemble; MLLO gap — EnsembleModel not a first-class type
6,TDC.PPBR_AZ,Therapeutics Data Commons,https://tdcommons.ai/,Drug Discovery,Plasma protein binding rate prediction,Regression,MolecularGraph,ContinuousValue,Chemprop-RDKit,TDC Leaderboard 2024,PolynomialModel,Message-passing net with RDKit features
7,TDC.VDss_Lombardo,Therapeutics Data Commons,https://tdcommons.ai/,Drug Discovery,Drug volume of distribution prediction,Regression,MolecularGraph,ContinuousValue,Chemprop-RDKit,TDC Leaderboard 2024,PolynomialModel,Same model family as PPBR_AZ
8,Breast Cancer Wisconsin,UCI ML Repository,https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic,Healthcare,Tumor malignancy classification,BinaryClassification,TabularData,BinaryLabel,SVM,UCI Baseline,NonParametricModel,569 samples; 30 numeric features from cell nuclei measurements
9,Heart Disease,UCI ML Repository,https://archive.ics.uci.edu/dataset/45/heart+disease,Healthcare,Heart disease presence prediction,BinaryClassification,TabularData,BinaryLabel,LogisticRegression,UCI Baseline,PolynomialModel,Cleveland subset; 303 samples; 13 features
10,Chronic Kidney Disease,UCI ML Repository,https://archive.ics.uci.edu/dataset/336/chronic+kidney+disease,Healthcare,Chronic kidney disease classification,BinaryClassification,TabularData,BinaryLabel,RandomForest,UCI Baseline,NonParametricModel,400 samples; 24 features; significant missing data
11,Wholesale Customers,UCI ML Repository,https://archive.ics.uci.edu/dataset/292/wholesale+customers,General / Retail,Customer segment discovery via clustering,Clustering,TabularData,ClusterAssignment,KMeans,UCI Baseline,ClusteringModel,440 samples; 6 product category spend features; used for MLLO ClusteringModel coverage
12,MNIST (PCA),UCI / OpenML,https://www.openml.org/d/554,General / Vision,Dimensionality reduction of digit images for visualization,DimensionalityReduction,Image,LowDimensionalEmbedding,PCA+tSNE,Scikit-learn,DimensionalityReductionModel,70000 samples; 784 features reduced to 2-50 dims; used for MLLO DimensionalityReductionModel coverage
